NOA,0.7951415943934959
GOZ,1.2308438539858488
MELH,0.8847605702334613
KLYN,0.7562888633439124
DUS,0.7134802798055374
UDS,0.9204060865737652
UDS,0
NRO,0
SQK,4.226473059676347
TYK,6.436513336932609
JME,5.452772962879129
LKK,1.2108324634466268
LKK,0
PCDR,0
BHBR,0.11804818872011875
PLWR,0.02931410729597371
SRKR,0.03226476954487172
LB,0.5990380422924325
LB,0
BHSA,0
SMI,3.5524963375060667
SMI,0
BAKT,0
SKEN,0.3103185463678996
AUI,0.2619185253642642
SKHK,0.14892725397802056
SKHK,0
SKI,0
JPAH,1.543161904146851
BPAH,0.8600844818221269
NUIH,0.6366892212360281
BIRL,1.3753292275924776
BIRL,0
NCBD,0
NCBD,0
TNPR,0
KTKS,3.46378332590432
MHI,7.540329600513824
BHMA,6.387947094507904
MHPR,3.954912724893326
KRMP,3.0736148640765144
MNS,2.44705890760487
MNS,0
MJN,0
BPJ,2.7634173806686735
HNR,5.527441849577128
DUT,5.927651890432018
RPY,4.694581717516965
TLL,1.4334560575438562
TLL,0
CCT,0
KOVH,2.700870714478208
AKAH,2.1723782128111457
KRAP,1.7422002311010836
VH,3.1937775853
VGH,4.689668558210981
NSPH,6.480669512170856
RBCS,8.317574181268132
DKSA,5.12820589244659
KDUH,2.0510333398748557
GVMH,0.8935655947267303
GVMH,0
HX,0
PBAP,1.5870874333977836
GGNP,1.557523077555632
GGNP,0
DKC,0
MRKL,1.1970171689448101
MRKL,0
KHNP,0
KNAG,4.006669860961535
HLKH,1.8638452008070048
NGNH,4.742526320980591
HMBD,7.507596265594948
KTAI,5.668986783566058
HIKD,5.9660817151056955
MUGI,4.66854575969222
KMPU,7.152466393759365
NADI,5.962670123342295
MAGN,5.99930736999689
KUKT,5.989687765283361
SLNK,4.420618130587905
TJSP,4.427713190860034
TJSP,0
TATA,0
HLD,3.627568832814029
SDHS,1.1714714971419764
BDO,0.570618405792869
OND,5.2552271423716554
RRP,4.657236137611201
KIJ,6.537703541986334
CHHU,4.693861522827975
CHHU,0
GMMG,0
MFCK,0.7973428806230007
HPUR,1.8767933259524143
GMDP,2.84311044197747
BUGM,4.133174638992114
MTIP,4.714035372654955
BOKA,7.023243702437175
RNGR,9.184017179962431
SHMR,8.011366277644784
GOR,7.415462652751675
SRBZ,5.419150750583414
KYB,4.469033286969857
GSQ,4.125388151540794
BWCN,3.8045686394866496
SHJ,4.187625495052917
SHKL,3.370131721795172
INS,1.8753488557787887
KMRL,0.3758231966944928
BTRB,1.247351084363929
PSF,3.621773826757877
DGF,6.382112528920166
DIM,8.624857107426084
SONA,11.01682444543055
HAM,13.685110826852645
SIMR,13.480692358260644
BDPR,11.211193778504938
CNRF,10.432086460243053
BZC,11.497865892997465
BEX,6.513273186033736
NOB,5.6997906946456665
BKNO,2.4199146957305544
BKNO,0
VBL,0
NGJA,1.312871226750043
RML,0.08170189508229958
PNVA,0.035765677527208
PNVA,0
BTC,0
GRHX,0.5844794593716959
KAYI,0.6237656266032958
WRI,2.5837265348493137
SGC,1.021541163073235
KFX,0.9148081899197202
LNW,1.3408747823202345
LNW,0
DLCB,0
DURG,1.2967687342388827
DURG,0
DLCB,0
MXA,6.543989614807396
PUWA,5.264740636108735
RSA,5.38556842541127
GDZ,5.6967432557658375
SKSO,5.855187485097104
LBO,5.651283985959414
BXA,0.6152917438471373
BSBH,6.273619740084266
KYS,8.724056415457328
DRZ,9.756693988859098
SHIT,6.291530685007047
GUDM,4.52666202752222
BPTP,3.3676959318481323
BPTP,0
ASV,0
SAHP,0.8415646161258757
SDGM,1.0800810954339137
NRD,1.6574670582968045
MDRA,3.37263213196024
DBO,4.875689069247698
NHM,10.674687718354068
JLM,13.013683352539017
RKH,13.544691302400478
KOY,13.590106007455159
TOD,12.41214176645227
KIA,7.061007352790599
PRJ,0.7139620472050948
SNSN,0.03682714800125161
HPRD,1.0420442805151067
HPRD,0
ANND,0
VLYN,0.09491908651868068
KRYR,0.4403947244197179
AGAS,2.047296878776455
BHAL,2.5152282758050815
BHAL,0
PTD,0
PNDR,3.204602448656012
NAR,4.367629987260658
NTN,5.704012852419337
TRP,8.104813023060139
YVP,6.139612044019486
SAY,3.222089527196057
KLWD,1.6235495270529667
KLWD,0
WKAC,0
DV,9.523687439495214
MU,14.068716832790994
RF,16.862882665502074
NZG,23.29988592565518
MVI,25.45492218621086
NZG,23.29988592565518
RF,16.862882665502074
MU,14.068716832790994
DV,9.523687439495214
DV,0
WKAC,0
WKAC,0
VS,0
VS,0
MX,0
MCCM,0.39331100328351754
BCL,0.6258121381213199
GTR,0.967763389531986
CYR,0.7591580032371996
MEL,0.28884851301865166
MEL,0
MM,0
KCE,0.28311392713732314
KCE,0
VCSV,0
VR,2.2740854835745075
VR,0
PDI,0
KLY,1.2507420716261302
DLV,1.4180365971616655
LWJ,0.5379776268014842
LWJ,0
TNA,0
KLVA,0.9278724799749338
KLVC,1.1238831974770627
MBQ,0.24623920637592678
MBQ,0
RVJ,0
VDLR,0.914553921155663
VDLR,0
TNA,0
XX-TNAC,2.068621000742696
XX-DIGHE,1.4465488876277712
AIRL,1.264349212921808
RABE,0.7812343867369917
GNSL,0.43935252315646595
KPHN,0.37545821814467134
KPHN,0
TUH,0
TUH,0
TUH,0
TUH,0
SWDV,0
SWDV,0
SGSGM,0
TRGHR,1.4333085618793475
BMDR,0.7283924260406976
BMDR,0
BEPR,0
BEPR,0
station_code,err_dist
LTT,0
VVH,0
VVH,0
GC,0.5233570659863073
VK,0.6038680526072672
