First_junc_name,err_dist,Second_junction,,,
HPR,,,,,
RHNE,,,,,
NI,,,,,
PKE,,,,,
NGNX,,,,,
NGN,,,,,
PJN,,,,,
HSL,,,,,
PNV,,,,,
MMR,,,,,
 , , ,,,
MMR,0,YY-MMRX,,,
MMR,,,,,
YY-MMRX,,,,,
 , , ,,,
YY-MMRX,9.361753955,KYN,,,
YY-MMRX,,,,,
SUM,,,,,
LS,,,,,
UGN,,,,,
NR,,,,,
KBSN,,,,,
KW,,,,,
ODHA,,,,,
NK,,,,,
DVL,,,,,
LT,,,,,
AV,,,,,
PI,,,,,
GO,,,,,
IGPX,,,,,
IGP,,,,,
TGR1,,,,,
TGR2,,,,,
TGR3,,,,,
KSRA,,,,,
OMB,,,,,
KE,,,,,
THS,,,,,
ATG,,,,,
ASO,,,,,
VSD,,,,,
KDV,,,,,
TLA,,,,,
ABY,,,,,
SHAD,,,,,
KYN,,,,,
 , , ,,,
KYN,0.20048674,DI,,,
KYN,,,,,
KYNX,,,,,
THK,,,,,
DI,,,,,
 , , ,,,
DI,0.004054357,KOPR,,,
DI,,,,,
DDCL,,,,,
KOPR,,,,,
 , , ,,,
KOPR,0,DWJN,,,
KOPR,,,,,
DWJN,,,,,
 , , ,,,
DWJN,0,DIVA,,,
DWJN,,,,,
DIVA,,,,,
 , , ,,,
DIVA,0.380042215,TNA,,,
DIVA,,,,,
YY-PSKT,,,,,
XX-TNAB,,,,,
TNA,,,,,
 , , ,,,
TNA,0.591307272,VVH,,,
TNA,,,,,
MLND,,,,,
CRNM,,,,,
NHU,,,,,
BND,,,,,
KJRD,,,,,
VK,,,,,
GC,,,,,
VVH,,,,,
 , , ,,,
VVH,0,LTT,,,
VVH,,,,,
LTT,,,,,
 , , ,,,
DIVA,0,DWJN,,,
DIVA,,,,,
DWJN,,,,,
 , , ,,,
DWJN,0,KOPR,,,
DWJN,,,,,
KOPR,,,,,
 , , ,,,
KOPR,0.004054357,DI,,,
KOPR,,,,,
DDCL,,,,,
DI,,,,,
 , , ,,,
DI,0.20048674,KYN,,,
DI,,,,,
THK,,,,,
KYNX,,,,,
KYN,,,,,
 , , ,,,
KYN,9.361753955,YY-MMRX,,,
KYN,,,,,
SHAD,,,,,
ABY,,,,,
TLA,,,,,
KDV,,,,,
VSD,,,,,
ASO,,,,,
ATG,,,,,
THS,,,,,
KE,,,,,
OMB,,,,,
KSRA,,,,,
TGR3,,,,,
TGR2,,,,,
TGR1,,,,,
IGP,,,,,
IGPX,,,,,
GO,,,,,
PI,,,,,
AV,,,,,
LT,,,,,
DVL,,,,,
NK,,,,,
ODHA,,,,,
KW,,,,,
KBSN,,,,,
NR,,,,,
UGN,,,,,
LS,,,,,
SUM,,,,,
YY-MMRX,,,,,
 , , ,,,
YY-MMRX,0,MMR,,,
YY-MMRX,,,,,
MMR,,,,,
 , , ,,,
MMR,3.288555323,CSN,,,
MMR,,,,,
PNV,,,,,
HSL,,,,,
PJN,,,,,
NGN,,,,,
NGNX,,,,,
PKE,,,,,
NI,,,,,
RHNE,,,,,
HPR,,,,,
CSN,,,,,
 , , ,,,
CSN,5.681871255,JL,,,
CSN,,,,,
VGL,,,,,
KJ,,,,,
NGD,,,,,
GAA,,,,,
PC,,,,,
PHQ,,,,,
MYJ,,,,,
MWD,,,,,
SS,,,,,
JL,,,,,
 , , ,,,
JL,0.368318923,BSGS,,,
JL,,,,,
TRW,,,,,
BDI,,,,,
BSL,,,,,
BSLX,,,,,
BSGS,,,,,
 , , ,,,
BSGS,0,BSBN,,,
BSGS,,,,,
BSBN,,,,,
 , , ,,,
BSBN,10.02842672,TLV,,,
BSBN,,,,,
DSK,,,,,
SAV,,,,,
NB,,,,,
RV,,,,,
WGA,,,,,
BAU,,,,,
AGQ,,,,,
CDI,,,,,
NPNR,,,,,
MWA,,,,,
SXA,,,,,
DGN,,,,,
KDK,,,,,
BMA,,,,,
BRGJ,,,,,
KNWX,,,,,
KNW,,,,,
MTA,,,,,
TLV,,,,,
 , , ,,,
TLV,4.065936182,JUH,,,
TLV,,,,,
SGBJ,,,,,
CKKD,,,,,
CAER,,,,,
BRUD,,,,,
DRHI,,,,,
KKN,,,,,
KRO,,,,,
BRI,,,,,
MUO,,,,,
PAL,,,,,
HD,,,,,
CRK,,,,,
TBN,,,,,
CGO,,,,,
PGL,,,,,
BIF,,,,,
BPF,,,,,
DKI,,,,,
KTZ,,,,,
DRA,,,,,
ETBC,,,,,
JUH,,,,,
 , , ,,,
JUH,0,ET,,,
JUH,,,,,
ET,,,,,
 , , ,,,
ET,2.731449769,KEQ,,,
ET,,,,,
GRO,,,,,
SQL,,,,,
BGTA,,,,,
GMD,,,,,
SGP,,,,,
SXF,,,,,
PPI,,,,,
BKH,,,,,
JHT,,,,,
SCKR,,,,,
GAR,,,,,
BNE,,,,,
KFY,,,,,
KY,,,,,
NU,,,,,
GPC,,,,,
BELD,,,,,
KKB,,,,,
SRID,,,,,
BMR,,,,,
BHTN,,,,,
BRGT,,,,,
KEQ,,,,,
 , , ,,,
KEQ,2.532774984,KTES,,,
KEQ,,,,,
MML,,,,,
JBP,,,,,
ADTL,,,,,
DOE,,,,,
GSPR,,,,,
SHR,,,,,
DDCE,,,,,
SBD,,,,,
SNRR,,,,,
NWR,,,,,
MDRR,,,,,
KTES,,,,,
 , , ,,,
KTES,0,KTE,,,
KTES,,,,,
KTE,,,,,
 , , ,,,
KTE,5.089889015,STA,,,
KTE,,,,,
PTWA,,,,,
XX-JKEB,,,,,
JKE,,,,,
PKRD,,,,,
UDR,,,,,
BUU,,,,,
MYR,,,,,
UHR,,,,,
LGCE,,,,,
STA,,,,,
 , , ,,,
STA,8.973632573,BNSP,,,
STA,,,,,
SAGM,,,,,
HATI,,,,,
JTW,,,,,
KTHA,,,,,
CTHR,,,,,
MJG,,,,,
EDA,,,,,
TKYR,,,,,
MKD,,,,,
BQF,,,,,
BNSP,,,,,
 , , ,,,
BNSP,0,MKP,,,
BNSP,,,,,
MKP,,,,,
 , , ,,,
MKP,3.746632649,IDGJ,,,
MKP,,,,,
PNHI,,,,,
DBR,,,,,
KTDD,,,,,
BRG,,,,,
MJHR,,,,,
SRJ,,,,,
BVAR,,,,,
LOG,,,,,
MFX,,,,,
JSR,,,,,
IDGJ,,,,,
 , , ,,,
IDGJ,0,LKJN,,,
IDGJ,,,,,
LKJN,,,,,
 , , ,,,
LKJN,0,PCOI,,,
LKJN,,,,,
PCOI,,,,,
 , , ,,,
PCOI,0,KCN,,,
PCOI,,,,,
KCN,,,,,
 , , ,,,
