First_junc_name,Second_junc_name,err_dist
KZJT,1.4165250225367119,PDPL,
PDPL,8.00141018222913,BPQ,
XX-BDXO,0,XX-BDBY,
XX-BDBY,0,YY-NAVO,
YY-NAVO,18.192999675493567,NRKR,
NRKR,4.573073158402236,AMLA,
AMLA,6.632530004646056,JUH,
BDTS,0,STC,
STC,1.4215454448978222,BSR,
XX-UDNB,0,UDN,
BRGY,1.1940652169074535,GDA,
GDA,12.723959539224353,RTM,
RTM,0,RTME,
RTME,2.4472123533158405,NAD,
NAD,6.232730188398033,UJNC,
UJNC,2.355088591218612,MKC,
MKC,5.950716194893625,NPDC,
NPDC,0,BPL,
KTES,0,KMZ,
MAKR,0,AGD,
AGD,0.9474254910380754,LAR,
LAR,4.489123869848053,JHS,
JHS,1.5978486964126957,GWL,
GWL,0,BLNR,
BLNR,10.06455703073307,BHA,
BHA,0,AGC,
AGC,0,RKM,
RKM,5.192633624392664,MTJ,
MTJ,0,BTSR,
BTSR,6.613258682617154,FDB,
FDB,0,TKDC,
TKDC,0.9859745810372708,OKAC,
OKAC,0,NZM,
NZM,0.4462816529564218,TKJ,
TKJ,0.654053741732828,DSB,
DSB,0,XX-DKZO,
XX-DKZO,0.2738015663519896,ANDI,
ANDI,0.9840875499770707,SNP,
SNP,1.1317043508877649,PNP,
PNP,3.959216000451809,KKDE,
KKDE,1.102659876953154,UMB,
UMB,0,UMBY,
UMBY,0.06701465212233446,RPJ,
RPJ,0.06522187975247525,SIR,
SIR,0.028128810010533318,SNL,
SNL,0.3611930420249776,LDH,
LDH,1.0430280636592428,PHR,
PHR,0.03484879151075096,PGW,
PGW,0.49910772368550893,JRC,
JRC,0,JUC,
JUC,0,BBSL,
BBSL,1.6925361141737834,BEAS,
BEAS,0.7659319197777096,ASR,
ASR,0.007086802710655478,ATT,
SUR,3.4109067294829836,KWV,
KWV,2.540491812101688,DD,
STA,2.273664944925328,REWA,
PTJ,3.5704658122829342,PGT,
PGT,1.2582333247699613,SRRA,
SRRA,0,SRR,
SRR,11.685326532796706,NTVT,
NTVT,0,XX-MAJO,
XX-MAJO,0,MAJN,
MAJN,7.223644225842844,MAO,
MAO,0.4474708104261837,MJO,
MJO,4.949232049750796,PNVL,
DTVL,0,DWJN,
SBPD,0,SLRA,
SLRA,2.202777323810824,JSGR,
JSGR,0,XX-JSGB,
PAU,13.112504583806915,AK,
