station_code,err_dist
LTT,0
LTT,0
VVH,0
VVH,0
GC,0.6018887828042075
VK,0.9140609917049645
KJRD,0.040600279576956985
BND,0.00300717603976149
NHU,0.11060372810790613
CRNM,0.04962424348355838
MLND,0
MLND,0
TNA,0
TNA,0
XX-TNAB,0
XX-TNAB,0
YY-PSKT,0.09108898110184092
DIVA,0
DIVA,0
DIVA,0
DTVL,0
DTVL,0
NIIJ,0
NIIJ,0
TPND,1.1221328082938804
NVRD,0.22076577354720164
KLMC,0.45756142202717925
KLMG,0.44828208257234375
PNVL,0
PNBE,0
SCY,0
SCY,0
PWS,0
PWS,0
PWS,0
DNR,0
DNR,0
NEO,0.4854541194681533
GNHI,0.7169773137680949
SDE,1.0500125464406902
PATL,1.2263218243313243
BTA,1.4286367132710935
PAIL,1.50349463779862
KWR,0.053213275854568316
KUA,0
KUA,0
JMIR,0.00023206804137727058
ARA,0
ARA,0
JGWL,0.17595737904638437
MTBH,0.2011033431958905
KRS,0.22906072335247266
KYA,0.21870952445675876
XSAN,0.006280048566989743
RNTE,0.17088614585951212
BEA,0.4550453955775842
ASJP,0.5101202460736715
BYN,0.5507500340362459
SKRI,0.6299427558098223
RPR,0.7084468463917302
VKDH,0.7875892031374678
TWG,0.8509340755737153
VVG,0.9155172286623715
DURE,0.924567046425582
KPHH,0.5908665808003399
BUE,0.40278571336206814
NDON,0
NDON,0
BXR,0.9043765456815476
PWXP,0.5278944071041725
CSA,1.7508538610865592
BQW,0.1156254396955721
GMR,1.1874876447160432
KKRH,0.8734268504741444
BWH,0.15556072024473455
USK,0.12369771791176302
DLN,0
DLN,0
DRV,0.1710445382048425
ZNA,0
ZNA,0
BHCL,0.1676103177357799
DHA,0.41355052946097376
TLAM,0.6482004860087867
SLD,0.8485316988145929
KCA,1.0986795257194915
EOCM,0.6464828686731275
JTHT,0
JTHT,0
MGSO,0.002145536571185458
MGMY,0
MGMY,0
DDU,0
DDU,0
DDU,0
NEWC,0
NEWC,0
NEWC,0
AVCD,0
AVCD,0
JEP,0.1011808266711833
ARW,0
ARW,0
KYT,0.35940529331256593
CAR,0
CAR,0
DAP,0
DAP,0
PRE,0.9849101463403636
JHG,0.2597858276140128
MZP,0
MZP,0
BDL,2.238501822109897
BEO,3.099763114941725
GAE,1.126891987912814
JIA,0.13285082527185182
MNF,0
MNF,0
UND,0.5466921354853266
MJA,1.108407709806772
BEP,1.3915165892951384
KCN,0
KCN,0
KCN,0
PCOI,0
PCOI,0
PCOI,0
LKJN,0
LKJN,0
LKJN,0
IDGJ,0
IDGJ,0
JSR,0.18025641007837473
MFX,0.2791986742857372
LOG,1.3459202212069514
BVAR,0
BVAR,0
SRJ,0.4196460221726921
MJHR,2.425629954093104
BRG,2.5072669539994332
KTDD,2.0922565547723697
DBR,0.9888854094574057
PNHI,0.4881982115947643
MKP,0
MKP,0
MKP,0
BNSP,0
BNSP,0
BQF,0.8198596552762153
MKD,2.4846835920704655
TKYR,4.756520043911945
EDA,0.9205718538072799
MJG,0
MJG,0
CTHR,2.454485197780598
KTHA,4.434137333398855
JTW,4.390217731795505
HATI,2.0272281451096483
SAGM,0.3532908234568106
STA,0
STA,0
LGCE,0.7651658764051472
UHR,0.47743395703739344
MYR,0
MYR,0
BUU,0.7226240219233816
UDR,4.111494433812757
PKRD,6.709082404142767
JKE,8.008020348947808
XX-JKEB,6.81667077120059
PTWA,4.509908793489905
KTE,0
KTE,0
KTE,0
KTES,0
KTES,0
MDRR,1.2360269631147167
NWR,3.110173907233637
SNRR,3.286456171400886
SBD,2.111655840555446
DDCE,0.40579971217058747
SHR,4.2644798463198414
GSPR,3.597064781587093
DOE,2.8940334196370765
ADTL,1.8926367207344583
JBP,0
JBP,0
MML,0.9418495014875377
KEQ,0
KEQ,0
BRGT,3.405015978677047
BHTN,5.059164489765332
BMR,1.9181682832878415
SRID,0.6202906600827295
KKB,1.4351265102016737
BELD,1.9124143752849254
GPC,0
GPC,0
NU,0.317743101674993
KY,2.7766452793408454
KFY,2.9848755913159173
BNE,4.4672614294425825
GAR,6.084950646148562
SCKR,1.846239899067967
JHT,1.707632383361204
BKH,0.9882574204479738
PPI,1.2080430997351168
SXF,0.32565439025537884
SGP,1.3186340979152074
GMD,0.2946282316425102
BGTA,3.0743156409973267
SQL,3.9870142012446315
GRO,0.09893067440909659
ET,0
ET,0
ET,0
JUH,0
JUH,0
ETBC,0.2526713822334054
DRA,3.1019352888016405
KTZ,3.2298049112250653
DKI,3.0452953454909037
BPF,3.1528309038777462
BIF,3.933881188017401
PGL,5.88950157880406
CGO,6.747198855954273
TBN,8.688583745941282
CRK,11.71420455700435
HD,12.485635932876292
PAL,12.140203604909443
MUO,11.771214140263128
BRI,11.574621252077755
KRO,11.272489141969764
KKN,10.215557919129717
DRHI,4.2106606997336264
BRUD,2.8159409009381315
CAER,0
CAER,0
CKKD,1.7665613869436663
SGBJ,0.5847101930204103
TLV,0
TLV,0
MTA,5.170904826965374
KNW,8.29036691372909
KNWX,8.100210769226077
BRGJ,7.561381603990372
BMA,6.20991642569712
KDK,5.664345843027714
DGN,4.33618933816693
SXA,1.4477923827126795
MWA,1.1081445681306994
NPNR,0
NPNR,0
CDI,0.2861606619643423
AGQ,0.63784425381217
BAU,1.1726602411923608
WGA,1.2957407801849241
RV,1.0622373818101691
NB,0.05118021813137191
SAV,0.2531001749811147
DSK,0.9896505165723419
BSBN,0
BSBN,0
BSBN,0
BSGS,0
BSGS,0
BSLX,0.23749558538927235
BSL,0.42134052799727484
BDI,0
BDI,0
TRW,0.4712177559585016
JL,0
JL,0
SS,0.24550481985022232
MWD,1.2514659661096126
MYJ,1.2852635837105229
PHQ,0.8169413326823264
PC,0
PC,0
GAA,1.6265375514715659
NGD,2.131236126376349
KJ,2.5141125349279987
VGL,1.2572152829664323
CSN,0
CSN,0
HPR,0.041164335222844836
RHNE,1.158666877401489
NI,1.0076206686683182
PKE,0
PKE,0
NGNX,2.5256720119552325
NGN,2.0878285694802896
PJN,0.6673848938286489
HSL,1.0136351019007843
PNV,0.4967536459925225
MMR,0
MMR,0
MMR,0
YY-MMRX,0
